"No.","Time","Source","Destination","Protocol","Length","Info"
"1043","1.584359","192.168.86.162","35.186.224.46","TCP","66","[TCP Window Update] 56136  >  443 [ACK] Seq=1365 Ack=11232 Win=131072 Len=0 TSval=1861187090 TSecr=2696659015"
"1049","1.594644","192.168.86.162","104.154.127.247","TCP","543","56149  >  4070 [PSH, ACK] Seq=232 Ack=492 Win=131840 Len=477 TSval=2267297743 TSecr=3090622731"
"1050","1.615434","192.168.86.162","13.64.180.106","TCP","212","[TCP Retransmission] 56144  >  443 [PSH, ACK] Seq=185 Ack=5942 Win=262144 Len=158"
"1052","1.744144","8.8.4.4","192.168.86.162","TCP","680","[TCP Retransmission] 443  >  56133 [FIN, PSH, ACK] Seq=4244 Ack=607 Win=268800 Len=614 TSval=2868267419 TSecr=964211706"
"1054","1.744145","157.240.11.54","192.168.86.162","TCP","66","443  >  54822 [ACK] Seq=1174 Ack=741 Win=905 Len=0 TSval=3246781265 TSecr=523980480"
"1056","1.744146","17.57.144.119","192.168.86.162","TCP","66","5223  >  56137 [ACK] Seq=4340 Ack=11833 Win=31872 Len=0 TSval=1112173454 TSecr=277354158"
"1057","1.744147","17.57.144.119","192.168.86.162","TCP","66","5223  >  56137 [ACK] Seq=4340 Ack=11914 Win=31872 Len=0 TSval=1112173455 TSecr=277354158"
"1063","1.744148","35.186.224.46","192.168.86.162","TCP","78","[TCP Dup ACK 972#1] 443  >  56150 [ACK] Seq=1 Ack=1 Win=268800 Len=0 TSval=3622171108 TSecr=2427781569 SLE=1401 SRE=2104"
"1064","1.744148","35.186.224.46","192.168.86.162","TCP","66","443  >  56150 [ACK] Seq=1 Ack=2104 Win=266752 Len=0 TSval=3622171108 TSecr=2427781569"
"1066","1.744149","37.16.4.196","192.168.86.162","TCP","78","[TCP Dup ACK 985#1] 443  >  56148 [ACK] Seq=3179 Ack=2033 Win=73728 Len=0 TSval=1091580484 TSecr=1349090567 SLE=865 SRE=2033"
"1067","1.744149","37.16.4.196","192.168.86.162","TCP","66","443  >  56148 [ACK] Seq=3179 Ack=2591 Win=75776 Len=0 TSval=1091580485 TSecr=1349090578"
"1068","1.744150","162.125.40.1","192.168.86.162","TCP","78","443  >  56138 [ACK] Seq=4002 Ack=5691 Win=66560 Len=0 TSval=724435134 TSecr=2625282920 SLE=3216 SRE=4644"
"1070","1.744150","104.154.127.247","192.168.86.162","TCP","1474","4070  >  56149 [ACK] Seq=492 Ack=709 Win=24576 Len=1408 TSval=3090622992 TSecr=2267297743"
"1071","1.744151","104.154.127.247","192.168.86.162","TCP","1474","4070  >  56149 [PSH, ACK] Seq=1900 Ack=709 Win=24576 Len=1408 TSval=3090622992 TSecr=2267297743"
"1072","1.744151","104.154.127.247","192.168.86.162","TCP","1474","4070  >  56149 [ACK] Seq=3308 Ack=709 Win=24576 Len=1408 TSval=3090622992 TSecr=2267297743"
"1073","1.744152","104.154.127.247","192.168.86.162","TCP","1474","4070  >  56149 [PSH, ACK] Seq=4716 Ack=709 Win=24576 Len=1408 TSval=3090622992 TSecr=2267297743"
"1074","1.744153","104.154.127.247","192.168.86.162","TCP","1474","4070  >  56149 [ACK] Seq=6124 Ack=709 Win=24576 Len=1408 TSval=3090622992 TSecr=2267297743"
"1075","1.744153","104.154.127.247","192.168.86.162","TCP","963","4070  >  56149 [PSH, ACK] Seq=7532 Ack=709 Win=24576 Len=897 TSval=3090622992 TSecr=2267297743"
"1076","1.744250","192.168.86.162","17.57.144.119","TCP","66","56137  >  5223 [ACK] Seq=11914 Ack=4340 Win=130944 Len=0 TSval=277354318 TSecr=1112173406"
"1077","1.744295","192.168.86.162","17.57.144.119","TCP","66","56137  >  5223 [ACK] Seq=11914 Ack=4406 Win=130880 Len=0 TSval=277354318 TSecr=1112173455"
"1078","1.744317","192.168.86.162","35.186.224.46","TCP","1466","[TCP Spurious Retransmission] 56150  >  443 [ACK] Seq=1 Ack=1 Win=131584 Len=1400 TSval=2427781731 TSecr=3622171108"
"1079","1.744331","192.168.86.162","35.186.224.46","TCP","66","56150  >  443 [ACK] Seq=2104 Ack=204 Win=131392 Len=0 TSval=2427781731 TSecr=3622171117"
"1080","1.744349","192.168.86.162","157.240.11.54","TCP","66","54822  >  443 [ACK] Seq=741 Ack=1213 Win=2047 Len=0 TSval=523980641 TSecr=3246781286"
"1081","1.744380","192.168.86.162","104.154.127.247","TCP","66","56149  >  4070 [ACK] Seq=709 Ack=8429 Win=123904 Len=0 TSval=2267297892 TSecr=3090622992"
"1082","1.744870","192.168.86.162","104.154.127.247","TCP","66","[TCP Window Update] 56149  >  4070 [ACK] Seq=709 Ack=8429 Win=131072 Len=0 TSval=2267297892 TSecr=3090622992"
"1083","1.746036","192.168.86.162","104.154.127.247","TCP","93","56149  >  4070 [PSH, ACK] Seq=709 Ack=8429 Win=131072 Len=27 TSval=2267297894 TSecr=3090622992"
"1087","1.755458","192.168.86.162","17.57.144.119","TCP","1514","56137  >  5223 [ACK] Seq=11946 Ack=4406 Win=131072 Len=1448 TSval=277354330 TSecr=1112173455 [TCP PDU reassembled in 1124]"
"1088","1.755460","192.168.86.162","17.57.144.119","TCP","1514","56137  >  5223 [ACK] Seq=13394 Ack=4406 Win=131072 Len=1448 TSval=277354330 TSecr=1112173455 [TCP PDU reassembled in 1124]"
"1089","1.773008","35.186.224.46","192.168.86.162","TCP","78","443  >  56150 [ACK] Seq=204 Ack=3109 Win=265984 Len=0 TSval=3622171253 TSecr=2427781733 SLE=1 SRE=1401"
"1090","1.778995","17.57.144.119","192.168.86.162","TCP","66","5223  >  56137 [ACK] Seq=4406 Ack=13394 Win=31872 Len=0 TSval=1112173605 TSecr=277354320"
"1091","1.779102","192.168.86.162","17.57.144.119","TCP","1514","56137  >  5223 [ACK] Seq=14842 Ack=4406 Win=131072 Len=1448 TSval=277354353 TSecr=1112173605 [TCP PDU reassembled in 1124]"
"1092","1.779104","192.168.86.162","17.57.144.119","TCP","1514","56137  >  5223 [ACK] Seq=16290 Ack=4406 Win=131072 Len=1448 TSval=277354353 TSecr=1112173605 [TCP PDU reassembled in 1124]"
"1099","1.878240","17.57.144.119","192.168.86.162","TCP","1514","5223  >  56137 [ACK] Seq=4464 Ack=14842 Win=31872 Len=1448 TSval=1112173662 TSecr=277354330 [TCP PDU reassembled in 1108]"
"1100","1.878241","104.154.127.247","192.168.86.162","TCP","558","4070  >  56149 [PSH, ACK] Seq=8429 Ack=709 Win=24576 Len=492 TSval=3090623109 TSecr=2267297892"
"1102","1.878242","37.16.4.196","192.168.86.162","TCP","1234","443  >  56148 [ACK] Seq=3179 Ack=2591 Win=75776 Len=1168 TSval=1091580676 TSecr=1349090578 [TCP PDU reassembled in 1112]"
"1103","1.878243","104.154.127.247","192.168.86.162","TCP","66","4070  >  56149 [ACK] Seq=8921 Ack=736 Win=24576 Len=0 TSval=3090623150 TSecr=2267297894"
"1105","1.878245","37.16.4.196","192.168.86.162","TCP","1234","443  >  56148 [PSH, ACK] Seq=4347 Ack=2591 Win=75776 Len=1168 TSval=1091580676 TSecr=1349090578 [TCP PDU reassembled in 1112]"
"1106","1.878245","17.57.144.119","192.168.86.162","TCP","1514","5223  >  56137 [PSH, ACK] Seq=5912 Ack=14842 Win=31872 Len=1448 TSval=1112173662 TSecr=277354330 [TCP PDU reassembled in 1108]"
"1107","1.878246","37.16.4.196","192.168.86.162","TCP","1234","443  >  56148 [ACK] Seq=5515 Ack=2591 Win=75776 Len=1168 TSval=1091580680 TSecr=1349090578 [TCP PDU reassembled in 1112]"
"1109","1.878248","37.16.4.196","192.168.86.162","TCP","1234","443  >  56148 [PSH, ACK] Seq=6683 Ack=2591 Win=75776 Len=1168 TSval=1091580680 TSecr=1349090578 [TCP PDU reassembled in 1112]"
"1110","1.878249","37.16.4.196","192.168.86.162","TCP","1234","443  >  56148 [ACK] Seq=7851 Ack=2591 Win=75776 Len=1168 TSval=1091580686 TSecr=1349090578 [TCP PDU reassembled in 1112]"
"1111","1.878250","37.16.4.196","192.168.86.162","TCP","1234","443  >  56148 [PSH, ACK] Seq=9019 Ack=2591 Win=75776 Len=1168 TSval=1091580686 TSecr=1349090578 [TCP PDU reassembled in 1112]"
"1113","1.878252","37.16.4.196","192.168.86.162","TCP","1234","443  >  56148 [PSH, ACK] Seq=11355 Ack=2591 Win=75776 Len=1168 TSval=1091580693 TSecr=1349090578 [TCP PDU reassembled in 1116]"
"1114","1.878253","37.16.4.196","192.168.86.162","TCP","1234","443  >  56148 [ACK] Seq=12523 Ack=2591 Win=75776 Len=1168 TSval=1091580699 TSecr=1349090578 [TCP PDU reassembled in 1116]"
"1115","1.878253","37.16.4.196","192.168.86.162","TCP","1234","443  >  56148 [PSH, ACK] Seq=13691 Ack=2591 Win=75776 Len=1168 TSval=1091580699 TSecr=1349090578 [TCP PDU reassembled in 1116]"
"1117","1.878255","37.16.4.196","192.168.86.162","TCP","1234","443  >  56148 [PSH, ACK] Seq=16027 Ack=2591 Win=75776 Len=1168 TSval=1091580706 TSecr=1349090578 [TCP PDU reassembled in 1121]"
"1118","1.878256","37.16.4.196","192.168.86.162","TCP","1234","443  >  56148 [ACK] Seq=17195 Ack=2591 Win=75776 Len=1168 TSval=1091580713 TSecr=1349090578 [TCP PDU reassembled in 1121]"
"1119","1.878257","37.16.4.196","192.168.86.162","TCP","1234","443  >  56148 [PSH, ACK] Seq=18363 Ack=2591 Win=75776 Len=1168 TSval=1091580713 TSecr=1349090578 [TCP PDU reassembled in 1121]"
"1120","1.878258","37.16.4.196","192.168.86.162","TCP","1234","443  >  56148 [ACK] Seq=19531 Ack=2591 Win=75776 Len=1168 TSval=1091580719 TSecr=1349090578 [TCP PDU reassembled in 1121]"
"1122","1.878375","192.168.86.162","13.64.180.106","TCP","54","56144  >  443 [ACK] Seq=343 Ack=5993 Win=262080 Len=0"
"1123","1.878442","192.168.86.162","17.57.144.119","TCP","1514","56137  >  5223 [ACK] Seq=17738 Ack=7884 Win=127552 Len=1448 TSval=277354453 TSecr=1112173662 [TCP PDU reassembled in 1124]"
"1125","1.878504","192.168.86.162","104.154.127.247","TCP","66","56149  >  4070 [ACK] Seq=736 Ack=8921 Win=130560 Len=0 TSval=2267298027 TSecr=3090623109"
"1126","1.878534","192.168.86.162","35.186.224.46","TCP","66","56150  >  443 [ACK] Seq=3109 Ack=1437 Win=130112 Len=0 TSval=2427781866 TSecr=3622171312"
"1127","1.878559","192.168.86.162","37.16.4.196","TCP","66","56148  >  443 [ACK] Seq=2591 Ack=18363 Win=115840 Len=0 TSval=1349090863 TSecr=1091580713"
"1128","1.878581","192.168.86.162","37.16.4.196","TCP","66","56148  >  443 [ACK] Seq=2591 Ack=21867 Win=112384 Len=0 TSval=1349090863 TSecr=1091580719"
"1129","1.878623","192.168.86.162","17.57.144.119","TCP","66","[TCP Window Update] 56137  >  5223 [ACK] Seq=19365 Ack=7884 Win=131072 Len=0 TSval=277354453 TSecr=1112173662"
"1130","1.878897","192.168.86.162","37.16.4.196","TCP","66","[TCP Window Update] 56148  >  443 [ACK] Seq=2591 Ack=21867 Win=131072 Len=0 TSval=1349090863 TSecr=1091580719"
"1132","1.880604","192.168.86.162","13.64.180.106","TCP","295","56144  >  443 [PSH, ACK] Seq=343 Ack=5993 Win=262144 Len=241 [TCP PDU reassembled in 1212]"
"1137","1.882788","192.168.86.162","192.168.86.172","TCP","78","56151  >  8009 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=349676657 TSecr=0 SACK_PERM"
"1138","1.888326","192.168.86.172","192.168.86.162","TCP","74","8009  >  56151 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM TSval=2311860429 TSecr=349676657 WS=64"
"1139","1.888418","192.168.86.162","192.168.86.172","TCP","66","56151  >  8009 [ACK] Seq=1 Ack=1 Win=131712 Len=0 TSval=349676738 TSecr=2311860429"
"1141","1.889515","192.168.86.162","192.168.86.172","TCP","324","56151  >  8009 [PSH, ACK] Seq=1449 Ack=1 Win=131712 Len=258 TSval=349676739 TSecr=2311860429"
"1143","1.909170","17.57.144.119","192.168.86.162","TCP","66","5223  >  56137 [ACK] Seq=7884 Ack=17738 Win=31872 Len=0 TSval=1112173730 TSecr=277354330"
"1144","1.909170","17.57.144.119","192.168.86.162","TCP","66","5223  >  56137 [ACK] Seq=7884 Ack=19365 Win=31872 Len=0 TSval=1112173730 TSecr=277354453"
"1145","1.909171","37.16.4.196","192.168.86.162","TCP","1234","443  >  56148 [ACK] Seq=21867 Ack=2591 Win=75776 Len=1168 TSval=1091580753 TSecr=1349090863 [TCP PDU reassembled in 1163]"
"1146","1.909172","192.168.86.172","192.168.86.162","TCP","66","8009  >  56151 [ACK] Seq=1 Ack=1449 Win=31872 Len=0 TSval=2311860447 TSecr=349676739"
"1147","1.909172","192.168.86.172","192.168.86.162","TCP","66","8009  >  56151 [ACK] Seq=1 Ack=1707 Win=34752 Len=0 TSval=2311860447 TSecr=349676739"
"1148","1.909173","37.16.4.196","192.168.86.162","TCP","1234","443  >  56148 [PSH, ACK] Seq=23035 Ack=2591 Win=75776 Len=1168 TSval=1091580753 TSecr=1349090863 [TCP PDU reassembled in 1163]"
"1149","1.909252","192.168.86.162","37.16.4.196","TCP","66","56148  >  443 [ACK] Seq=2591 Ack=24203 Win=128704 Len=0 TSval=1349090893 TSecr=1091580753"
"1150","1.909330","192.168.86.162","37.16.4.196","TCP","66","[TCP Window Update] 56148  >  443 [ACK] Seq=2591 Ack=24203 Win=131072 Len=0 TSval=1349090893 TSecr=1091580753"
"1151","1.910815","35.186.224.46","192.168.86.162","TCP","66","443  >  56150 [ACK] Seq=1437 Ack=3152 Win=265984 Len=0 TSval=3622171384 TSecr=2427781867"
"1154","1.910816","37.16.4.196","192.168.86.162","TCP","1234","443  >  56148 [ACK] Seq=24203 Ack=2591 Win=75776 Len=1168 TSval=1091580755 TSecr=1349090863 [TCP PDU reassembled in 1163]"
"1155","1.910817","37.16.4.196","192.168.86.162","TCP","1234","443  >  56148 [PSH, ACK] Seq=25371 Ack=2591 Win=75776 Len=1168 TSval=1091580755 TSecr=1349090863 [TCP PDU reassembled in 1163]"
"1156","1.910852","192.168.86.162","37.16.4.196","TCP","66","56148  >  443 [ACK] Seq=2591 Ack=26539 Win=128704 Len=0 TSval=1349090895 TSecr=1091580755"
"1157","1.910874","192.168.86.162","17.57.144.119","TCP","66","56137  >  5223 [ACK] Seq=19397 Ack=7920 Win=131008 Len=0 TSval=277354485 TSecr=1112173730"
"1158","1.910896","192.168.86.162","37.16.4.196","TCP","66","[TCP Window Update] 56148  >  443 [ACK] Seq=2591 Ack=26539 Win=131072 Len=0 TSval=1349090895 TSecr=1091580755"
"1161","1.914582","37.16.4.196","192.168.86.162","TCP","1234","443  >  56148 [ACK] Seq=26539 Ack=2591 Win=75776 Len=1168 TSval=1091580758 TSecr=1349090863 [TCP PDU reassembled in 1163]"
"1162","1.914583","37.16.4.196","192.168.86.162","TCP","1234","443  >  56148 [PSH, ACK] Seq=27707 Ack=2591 Win=75776 Len=1168 TSval=1091580758 TSecr=1349090863 [TCP PDU reassembled in 1163]"
"1164","1.914584","37.16.4.196","192.168.86.162","TCP","1234","443  >  56148 [PSH, ACK] Seq=30043 Ack=2591 Win=75776 Len=1168 TSval=1091580762 TSecr=1349090863 [TCP PDU reassembled in 1193]"
"1165","1.914660","192.168.86.162","37.16.4.196","TCP","66","56148  >  443 [ACK] Seq=2591 Ack=31211 Win=126400 Len=0 TSval=1349090899 TSecr=1091580762"
"1166","1.914791","192.168.86.162","37.16.4.196","TCP","66","[TCP Window Update] 56148  >  443 [ACK] Seq=2591 Ack=31211 Win=131072 Len=0 TSval=1349090899 TSecr=1091580762"
"1167","1.914881","192.168.86.162","17.57.144.119","TCP","1514","56137  >  5223 [ACK] Seq=19397 Ack=7920 Win=131072 Len=1448 TSval=277354489 TSecr=1112173730 [TCP PDU reassembled in 1172]"
"1168","1.914882","192.168.86.162","17.57.144.119","TCP","1514","56137  >  5223 [ACK] Seq=20845 Ack=7920 Win=131072 Len=1448 TSval=277354489 TSecr=1112173730 [TCP PDU reassembled in 1172]"
"1169","1.914884","192.168.86.162","17.57.144.119","TCP","1514","56137  >  5223 [ACK] Seq=22293 Ack=7920 Win=131072 Len=1448 TSval=277354489 TSecr=1112173730 [TCP PDU reassembled in 1172]"
"1170","1.914885","192.168.86.162","17.57.144.119","TCP","1514","56137  >  5223 [ACK] Seq=23741 Ack=7920 Win=131072 Len=1448 TSval=277354489 TSecr=1112173730 [TCP PDU reassembled in 1172]"
"1171","1.914886","192.168.86.162","17.57.144.119","TCP","1514","56137  >  5223 [ACK] Seq=25189 Ack=7920 Win=131072 Len=1448 TSval=277354489 TSecr=1112173730 [TCP PDU reassembled in 1172]"
"1177","1.982948","192.168.86.162","35.186.224.31","TCP","78","56152  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=1224556989 TSecr=0 SACK_PERM"
"1178","2.019837","192.168.86.162","17.248.193.16","TCP","78","56153  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=3203748738 TSecr=0 SACK_PERM"
"1195","2.065403","17.57.144.119","192.168.86.162","TCP","66","5223  >  56137 [ACK] Seq=7920 Ack=19397 Win=31872 Len=0 TSval=1112173765 TSecr=277354455"
"1196","2.065404","17.57.144.119","192.168.86.162","TCP","66","5223  >  56137 [ACK] Seq=7920 Ack=22293 Win=31872 Len=0 TSval=1112173766 TSecr=277354489"
"1197","2.065404","17.57.144.119","192.168.86.162","TCP","66","5223  >  56137 [ACK] Seq=7920 Ack=25189 Win=31872 Len=0 TSval=1112173766 TSecr=277354489"
"1198","2.065405","17.57.144.119","192.168.86.162","TCP","66","5223  >  56137 [ACK] Seq=7920 Ack=26701 Win=31872 Len=0 TSval=1112173766 TSecr=277354489"
"1200","2.065405","104.154.127.247","192.168.86.162","TCP","93","4070  >  56149 [PSH, ACK] Seq=8921 Ack=736 Win=24576 Len=27 TSval=3090623240 TSecr=2267298027"
"1201","2.065405","13.64.180.106","192.168.86.162","TCP","60","443  >  56144 [ACK] Seq=5993 Ack=584 Win=7609 Len=0"
"1204","2.065406","fe80::14b6:ff83:a412:ebee","fe80::1cc1:4cef:1e0a:8c4f","TCP","86","[TCP Retransmission] 49153  >  49591 [FIN, ACK] Seq=1 Ack=1 Win=4096 Len=0 TSval=3891313361 TSecr=1310734468"
"1207","2.065502","192.168.86.162","37.16.4.196","TCP","66","56148  >  443 [ACK] Seq=2591 Ack=31599 Win=130624 Len=0 TSval=1349091050 TSecr=1091580765"
"1208","2.065553","192.168.86.162","192.168.86.172","TCP","66","56151  >  8009 [ACK] Seq=1707 Ack=1209 Win=130560 Len=0 TSval=349676915 TSecr=2311860469"
"1209","2.065584","192.168.86.162","104.154.127.247","TCP","66","56149  >  4070 [ACK] Seq=736 Ack=8948 Win=131008 Len=0 TSval=2267298214 TSecr=3090623240"
"1210","2.065617","192.168.86.162","17.57.144.119","TCP","66","56137  >  5223 [ACK] Seq=26701 Ack=8550 Win=130432 Len=0 TSval=277354640 TSecr=1112173794"
"1211","2.065637","192.168.86.162","35.186.224.46","TCP","66","56150  >  443 [ACK] Seq=3152 Ack=1477 Win=131008 Len=0 TSval=2427782053 TSecr=3622171435"
"1213","2.065765","192.168.86.162","192.168.86.172","TCP","130","56151  >  8009 [PSH, ACK] Seq=1707 Ack=1209 Win=131072 Len=64 TSval=349676915 TSecr=2311860469"
"1216","2.066991","192.168.86.162","192.168.86.172","TCP","184","56151  >  8009 [PSH, ACK] Seq=1771 Ack=1209 Win=131072 Len=118 TSval=349676916 TSecr=2311860469"
"1230","2.233415","17.57.144.121","192.168.86.162","TCP","90","[TCP Retransmission] 5223  >  49593 [FIN, PSH, ACK] Seq=1 Ack=1 Win=8004 Len=24 TSval=4083461048 TSecr=3948423322"
"1231","2.233417","192.168.86.172","192.168.86.162","TCP","66","8009  >  56151 [ACK] Seq=1209 Ack=1889 Win=34752 Len=0 TSval=2311860657 TSecr=349676915"
"1232","2.233418","192.168.86.172","192.168.86.162","TCP","1514","8009  >  56151 [ACK] Seq=1209 Ack=1889 Win=34752 Len=1448 TSval=2311860734 TSecr=349676915"
"1235","2.233420","17.248.193.16","192.168.86.162","TCP","74","443  >  56153 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=2233932039 TSecr=3203748738 WS=512"
"1236","2.233420","35.186.224.31","192.168.86.162","TCP","74","443  >  56152 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1412 SACK_PERM TSval=3838124462 TSecr=1224556989 WS=256"
"1239","2.233421","40.83.247.108","192.168.86.162","TCP","54","443  >  49595 [FIN, ACK] Seq=152 Ack=1 Win=7382 Len=0"
"1243","2.233422","17.57.144.119","192.168.86.162","TCP","66","5223  >  56137 [ACK] Seq=8550 Ack=26733 Win=31872 Len=0 TSval=1112173999 TSecr=277354641"
"1246","2.233424","192.168.86.172","192.168.86.162","TCP","1514","8009  >  56151 [ACK] Seq=2657 Ack=1889 Win=34752 Len=1448 TSval=2311860734 TSecr=349676915"
"1247","2.233424","192.168.86.172","192.168.86.162","TCP","1514","8009  >  56151 [ACK] Seq=4105 Ack=1889 Win=34752 Len=1448 TSval=2311860736 TSecr=349676915"
"1248","2.233425","192.168.86.172","192.168.86.162","TCP","333","8009  >  56151 [PSH, ACK] Seq=5553 Ack=1889 Win=34752 Len=267 TSval=2311860736 TSecr=349676915"
"1255","2.233594","192.168.86.162","192.168.86.172","TCP","66","56151  >  8009 [ACK] Seq=1889 Ack=5820 Win=126400 Len=0 TSval=349677083 TSecr=2311860736"
"1256","2.233695","192.168.86.162","17.248.193.16","TCP","66","56153  >  443 [ACK] Seq=1 Ack=1 Win=131712 Len=0 TSval=3203748952 TSecr=2233932039"
"1257","2.233710","192.168.86.162","192.168.86.172","TCP","66","[TCP Window Update] 56151  >  8009 [ACK] Seq=1889 Ack=5820 Win=131072 Len=0 TSval=349677083 TSecr=2311860736"
"1258","2.233722","192.168.86.162","35.186.224.31","TCP","66","56152  >  443 [ACK] Seq=1 Ack=1 Win=131584 Len=0 TSval=1224557240 TSecr=3838124462"
"1259","2.233755","192.168.86.162","13.64.180.106","TCP","54","56144  >  443 [ACK] Seq=1960 Ack=6540 Win=261568 Len=0"
"1260","2.233809","192.168.86.162","52.12.169.42","TCP","66","49630  >  443 [ACK] Seq=1001 Ack=976 Win=2032 Len=0 TSval=479638592 TSecr=1125871545"
"1261","2.234265","192.168.86.162","35.186.224.31","TCP","1466","56152  >  443 [ACK] Seq=1 Ack=1 Win=131584 Len=1400 TSval=1224557240 TSecr=3838124462 [TCP PDU reassembled in 1262]"
"1268","2.237346","192.168.86.162","192.168.86.172","TCP","539","56151  >  8009 [PSH, ACK] Seq=1889 Ack=5820 Win=131072 Len=473 TSval=349677086 TSecr=2311860736"
"1269","2.237447","192.168.86.162","192.168.86.172","TCP","231","56151  >  8009 [PSH, ACK] Seq=2362 Ack=5820 Win=131072 Len=165 TSval=349677086 TSecr=2311860736"
"1270","2.237732","192.168.86.162","192.168.86.172","TCP","200","56151  >  8009 [PSH, ACK] Seq=2527 Ack=5820 Win=131072 Len=134 TSval=349677086 TSecr=2311860736"
"1294","2.412442","fd66:2118:9c14:90fe:18c1:b965:49ba:6bd3","fd66:2118:9c14:90fe:808:7368:1c0d:c89a","TCP","98","56145  >  49153 [SYN, ECE, CWR] Seq=0 Win=65535 Len=0 MSS=1440 WS=64 TSval=3650620985 TSecr=0 SACK_PERM"
"1295","2.412560","fe80::1cc1:4cef:1e0a:8c4f","fe80::14b6:ff83:a412:ebee","TCP","98","56142  >  49153 [SYN] Seq=0 Win=65535 Len=0 MSS=1440 WS=64 TSval=363828640 TSecr=0 SACK_PERM"
"1300","2.439510","192.168.86.172","192.168.86.162","TCP","66","8009  >  56151 [ACK] Seq=5820 Ack=2527 Win=40576 Len=0 TSval=2311860786 TSecr=349677086"
"1301","2.439512","192.168.86.172","192.168.86.162","TCP","264","8009  >  56151 [PSH, ACK] Seq=5820 Ack=2661 Win=43456 Len=198 TSval=2311860788 TSecr=349677086"
"1302","2.439513","17.248.193.16","192.168.86.162","TCP","66","443  >  56153 [ACK] Seq=1 Ack=518 Win=65024 Len=0 TSval=2233932225 TSecr=3203748953"
"1304","2.439514","37.16.4.196","192.168.86.162","TCP","66","443  >  56148 [ACK] Seq=31599 Ack=2946 Win=77824 Len=0 TSval=1091581109 TSecr=1349091107"
"1305","2.439514","37.16.4.196","192.168.86.162","TCP","66","443  >  56148 [ACK] Seq=31599 Ack=3026 Win=77824 Len=0 TSval=1091581117 TSecr=1349091107"
"1306","2.439515","37.16.4.196","192.168.86.162","TCP","66","443  >  56148 [ACK] Seq=31599 Ack=3069 Win=77824 Len=0 TSval=1091581117 TSecr=1349091107"
"1307","2.439515","37.16.4.196","192.168.86.162","TCP","66","443  >  56148 [ACK] Seq=31599 Ack=3115 Win=77824 Len=0 TSval=1091581117 TSecr=1349091108"
"1308","2.439515","35.186.224.31","192.168.86.162","TCP","78","[TCP Dup ACK 1236#1] 443  >  56152 [ACK] Seq=1 Ack=1 Win=67072 Len=0 TSval=3838124649 TSecr=1224557240 SLE=1401 SRE=2124"
"1309","2.439515","35.186.224.31","192.168.86.162","TCP","66","443  >  56152 [ACK] Seq=1 Ack=2124 Win=69888 Len=0 TSval=3838124649 TSecr=1224557240"
"1311","2.439516","192.168.86.172","192.168.86.162","TCP","1430","[TCP Retransmission] 8009  >  50803 [PSH, ACK] Seq=1 Ack=1 Win=679 Len=1364 TSval=2311860907 TSecr=1947085131 [TCP PDU reassembled in 231]"
"1312","2.439517","40.83.247.108","192.168.86.162","TCP","205","[TCP Retransmission] 443  >  49595 [FIN, PSH, ACK] Seq=1 Ack=1 Win=7382 Len=151"
"1313","2.439518","192.168.86.172","192.168.86.162","TCP","502","8009  >  56151 [PSH, ACK] Seq=6018 Ack=2661 Win=43456 Len=436 TSval=2311860791 TSecr=349677086"
"1314","2.439518","37.16.4.196","192.168.86.162","TCP","66","443  >  56148 [ACK] Seq=31599 Ack=3159 Win=77824 Len=0 TSval=1091581117 TSecr=1349091108"
"1315","2.439519","37.16.4.196","192.168.86.162","TCP","66","443  >  56148 [ACK] Seq=31599 Ack=3207 Win=77824 Len=0 TSval=1091581117 TSecr=1349091108"
"1316","2.439519","37.16.4.196","192.168.86.162","TCP","1234","443  >  56148 [ACK] Seq=31599 Ack=3207 Win=77824 Len=1168 TSval=1091581163 TSecr=1349091108 [TCP PDU reassembled in 1336]"
"1317","2.439520","192.168.86.172","192.168.86.162","TCP","502","[TCP Retransmission] 8009  >  56151 [PSH, ACK] Seq=6018 Ack=2661 Win=43456 Len=436 TSval=2311860907 TSecr=349677086"
"1319","2.439521","37.16.4.196","192.168.86.162","TCP","1234","443  >  56148 [PSH, ACK] Seq=32767 Ack=3207 Win=77824 Len=1168 TSval=1091581163 TSecr=1349091108 [TCP PDU reassembled in 1336]"
"1321","2.439523","37.16.4.196","192.168.86.162","TCP","1234","443  >  56148 [ACK] Seq=33935 Ack=3207 Win=77824 Len=1168 TSval=1091581164 TSecr=1349091108 [TCP PDU reassembled in 1336]"
"1323","2.439525","37.16.4.196","192.168.86.162","TCP","1234","443  >  56148 [PSH, ACK] Seq=35103 Ack=3207 Win=77824 Len=1168 TSval=1091581164 TSecr=1349091108 [TCP PDU reassembled in 1336]"
"1324","2.439656","192.168.86.162","192.168.86.172","TCP","66","56151  >  8009 [ACK] Seq=2661 Ack=6454 Win=130432 Len=0 TSval=349677289 TSecr=2311860791"
